duracao,ciclo,faixa_etaria,cronico,composicao_titular,especialidade,uso,total_contratos,churners,churn_rate
6,2o+,31-50,S,com_ambos,exames,nao_usou,285,109,38.2
6,2o+,31-50,S,com_crianca,exames,nao_usou,547,249,45.5
6,2o+,31-50,S,com_idoso,exames,nao_usou,510,180,35.3
6,2o+,31-50,S,solo,exames,nao_usou,957,451,47.1
6,2o+,51-70,N,com_ambos,exames,nao_usou,979,396,40.4
6,2o+,51-70,N,com_crianca,exames,nao_usou,1527,633,41.5
6,2o+,51-70,N,com_idoso,exames,nao_usou,3601,1434,39.8
6,2o+,51-70,N,solo,exames,nao_usou,5427,2532,46.7
6,2o+,51-70,S,com_ambos,exames,nao_usou,429,156,36.4
6,2o+,51-70,S,com_crianca,exames,nao_usou,587,221,37.6
6,2o+,51-70,S,com_idoso,exames,nao_usou,1723,625,36.3
6,2o+,51-70,S,solo,exames,nao_usou,2419,1043,43.1
6,2o+,71+,N,com_ambos,exames,nao_usou,138,51,37.0
6,2o+,71+,N,com_crianca,exames,nao_usou,178,84,47.2
6,2o+,71+,N,com_idoso,exames,nao_usou,913,377,41.3
6,2o+,71+,N,solo,exames,nao_usou,1141,501,43.9
6,2o+,71+,S,com_ambos,exames,nao_usou,106,39,36.8
6,2o+,71+,S,com_crianca,exames,nao_usou,98,43,43.9
6,2o+,71+,S,com_idoso,exames,nao_usou,553,186,33.6
6,2o+,71+,S,solo,exames,nao_usou,727,305,42.0
6,1o,00-20,N,com_crianca,ginecologia,nao_usou,94,60,63.8
6,1o,00-20,N,com_idoso,ginecologia,nao_usou,52,35,67.3
6,1o,00-20,N,solo,ginecologia,nao_usou,451,298,66.1
6,1o,00-20,N,solo,ginecologia,usou,60,39,65.0
6,1o,21-30,N,com_ambos,ginecologia,nao_usou,178,95,53.4
6,1o,21-30,N,com_ambos,ginecologia,usou,58,31,53.4
6,1o,21-30,N,com_crianca,ginecologia,nao_usou,1084,703,64.9
6,1o,21-30,N,com_crianca,ginecologia,usou,267,169,63.3
6,1o,21-30,N,com_idoso,ginecologia,nao_usou,776,460,59.3
6,1o,21-30,N,com_idoso,ginecologia,usou,233,128,54.9
6,1o,21-30,N,solo,ginecologia,nao_usou,4931,3309,67.1
6,1o,21-30,N,solo,ginecologia,usou,1239,827,66.7
6,1o,21-30,S,com_crianca,ginecologia,nao_usou,33,23,69.7
6,1o,21-30,S,com_idoso,ginecologia,nao_usou,39,16,41.0
6,1o,21-30,S,solo,ginecologia,nao_usou,148,97,65.5
6,1o,21-30,S,solo,ginecologia,usou,30,19,63.3
6,1o,31-50,N,com_ambos,ginecologia,nao_usou,1655,890,53.8
6,1o,31-50,N,com_ambos,ginecologia,usou,426,214,50.2
6,1o,31-50,N,com_crianca,ginecologia,nao_usou,4687,2758,58.8
6,1o,31-50,N,com_crianca,ginecologia,usou,1120,609,54.4
6,1o,31-50,N,com_idoso,ginecologia,nao_usou,3049,1668,54.7
6,1o,31-50,N,com_idoso,ginecologia,usou,660,346,52.4
6,1o,31-50,N,solo,ginecologia,nao_usou,10207,6186,60.6
6,1o,31-50,N,solo,ginecologia,usou,1979,1224,61.8
6,1o,31-50,S,com_ambos,ginecologia,nao_usou,188,96,51.1
6,1o,31-50,S,com_ambos,ginecologia,usou,53,26,49.1
6,1o,31-50,S,com_crianca,ginecologia,nao_usou,466,245,52.6
6,1o,31-50,S,com_crianca,ginecologia,usou,133,61,45.9
6,1o,31-50,S,com_idoso,ginecologia,nao_usou,342,181,52.9
6,1o,31-50,S,com_idoso,ginecologia,usou,74,48,64.9
6,1o,31-50,S,solo,ginecologia,nao_usou,1205,679,56.3
6,1o,31-50,S,solo,ginecologia,usou,212,120,56.6
6,1o,51-70,N,com_ambos,ginecologia,nao_usou,742,367,49.5
6,1o,51-70,N,com_ambos,ginecologia,usou,121,56,46.3
6,1o,51-70,N,com_crianca,ginecologia,nao_usou,1500,759,50.6
6,1o,51-70,N,com_crianca,ginecologia,usou,285,158,55.4
6,1o,51-70,N,com_idoso,ginecologia,nao_usou,3022,1507,49.9
6,1o,51-70,N,com_idoso,ginecologia,usou,437,211,48.3
6,1o,51-70,N,solo,ginecologia,nao_usou,6977,3814,54.7
6,1o,51-70,N,solo,ginecologia,usou,815,431,52.9
6,1o,51-70,S,com_ambos,ginecologia,nao_usou,200,90,45.0
6,1o,51-70,S,com_ambos,ginecologia,usou,44,17,38.6
6,1o,51-70,S,com_crianca,ginecologia,nao_usou,416,204,49.0
6,1o,51-70,S,com_crianca,ginecologia,usou,91,44,48.4
6,1o,51-70,S,com_idoso,ginecologia,nao_usou,1026,470,45.8
6,1o,51-70,S,com_idoso,ginecologia,usou,210,87,41.4
6,1o,51-70,S,solo,ginecologia,nao_usou,2384,1254,52.6
6,1o,51-70,S,solo,ginecologia,usou,324,168,51.9
6,1o,71+,N,com_ambos,ginecologia,nao_usou,91,43,47.3
6,1o,71+,N,com_crianca,ginecologia,nao_usou,145,73,50.3
6,1o,71+,N,com_idoso,ginecologia,nao_usou,761,364,47.8
6,1o,71+,N,com_idoso,ginecologia,usou,47,15,31.9
6,1o,71+,N,solo,ginecologia,nao_usou,1489,762,51.2
6,1o,71+,N,solo,ginecologia,usou,77,44,57.1
6,1o,71+,S,com_ambos,ginecologia,nao_usou,40,16,40.0
6,1o,71+,S,com_crianca,ginecologia,nao_usou,82,39,47.6
6,1o,71+,S,com_idoso,ginecologia,nao_usou,354,174,49.2
6,1o,71+,S,com_idoso,ginecologia,usou,30,16,53.3
6,1o,71+,S,solo,ginecologia,nao_usou,761,391,51.4
6,1o,71+,S,solo,ginecologia,usou,43,16,37.2
6,2o+,00-20,N,com_crianca,ginecologia,nao_usou,51,23,45.1
6,2o+,00-20,N,com_idoso,ginecologia,nao_usou,31,17,54.8
6,2o+,00-20,N,solo,ginecologia,nao_usou,191,110,57.6
6,2o+,21-30,N,com_ambos,ginecologia,nao_usou,245,94,38.4
6,2o+,21-30,N,com_crianca,ginecologia,nao_usou,646,345,53.4
6,2o+,21-30,N,com_idoso,ginecologia,nao_usou,730,331,45.3
6,2o+,21-30,N,solo,ginecologia,nao_usou,2494,1315,52.7
6,2o+,21-30,S,com_crianca,ginecologia,nao_usou,30,12,40.0
6,2o+,21-30,S,solo,ginecologia,nao_usou,87,48,55.2
6,2o+,31-50,N,com_ambos,ginecologia,nao_usou,1984,880,44.4
6,2o+,31-50,N,com_crianca,ginecologia,nao_usou,3939,1892,48.0
6,2o+,31-50,N,com_idoso,ginecologia,nao_usou,3263,1357,41.6
6,2o+,31-50,N,solo,ginecologia,nao_usou,6634,3299,49.7
6,2o+,31-50,S,com_ambos,ginecologia,nao_usou,285,109,38.2
6,2o+,31-50,S,com_crianca,ginecologia,nao_usou,547,249,45.5
6,2o+,31-50,S,com_idoso,ginecologia,nao_usou,510,180,35.3
6,2o+,31-50,S,solo,ginecologia,nao_usou,957,451,47.1
6,2o+,51-70,N,com_ambos,ginecologia,nao_usou,979,396,40.4
6,2o+,51-70,N,com_crianca,ginecologia,nao_usou,1527,633,41.5
6,2o+,51-70,N,com_idoso,ginecologia,nao_usou,3601,1434,39.8
6,2o+,51-70,N,solo,ginecologia,nao_usou,5427,2532,46.7
6,2o+,51-70,S,com_ambos,ginecologia,nao_usou,429,156,36.4
