duracao,contrato,dependentes,faixa_idade,cronico,canal,classe,total_contratos,churners,churn_rate
6,1o,3+_dep,00-30,N,digital,CDE,747,423,56.6
12,2o+,3+_dep,00-30,N,presencial_cfp,CDE,410,232,56.6
12,1o,3+_dep,31-50,S,digital,AB,262,148,56.5
12,2o+,sem_dep,51-70,S,presencial_cfp,CDE,359,203,56.5
6,1o,sem_dep,51-70,N,presencial_cfp,CDE,1816,1020,56.2
12,1o,1-2_dep,71+,S,presencial_cfp,AB,399,224,56.1
12,2o+,sem_dep,51-70,S,digital,AB,82,46,56.1
12,2o+,3+_dep,00-30,N,presencial_cfp,AB,263,147,55.9
12,2o+,3+_dep,31-50,N,digital,AB,433,242,55.9
6,1o,sem_dep,51-70,N,digital,AB,720,402,55.8
6,1o,sem_dep,51-70,N,digital,CDE,705,393,55.7
12,2o+,sem_dep,71+,N,presencial_cfp,AB,304,169,55.6
6,1o,sem_dep,51-70,S,presencial_cfp,AB,683,379,55.5
6,1o,1-2_dep,31-50,S,digital,AB,256,142,55.5
12,1o,3+_dep,71+,N,presencial_cfp,AB,437,242,55.4
12,1o,3+_dep,31-50,S,presencial_cfp,CDE,464,257,55.4
12,2o+,sem_dep,71+,N,presencial_cfp,CDE,253,140,55.3
12,1o,3+_dep,71+,N,presencial_cfp,CDE,404,223,55.2
6,1o,sem_dep,51-70,S,digital,AB,230,127,55.2
12,2o+,3+_dep,31-50,N,digital,CDE,528,291,55.1
6,1o,3+_dep,00-30,N,digital,AB,428,236,55.1
12,1o,1-2_dep,71+,N,digital,AB,218,120,55.0
6,1o,sem_dep,51-70,S,digital,CDE,202,111,55.0
6,1o,sem_dep,71+,N,presencial_cfp,AB,463,254,54.9
6,1o,3+_dep,31-50,S,digital,CDE,162,89,54.9
12,2o+,1-2_dep,00-30,N,digital,AB,71,39,54.9
12,1o,1-2_dep,51-70,S,presencial_cfp,AB,925,507,54.8
12,1o,sem_dep,71+,S,digital,AB,106,58,54.7
6,2o+,1-2_dep,00-30,N,digital,AB,377,206,54.6
12,2o+,3+_dep,31-50,N,presencial_cfp,CDE,2659,1446,54.4
12,1o,3+_dep,31-50,S,digital,CDE,296,161,54.4
12,2o+,1-2_dep,51-70,N,digital,CDE,168,91,54.2
12,2o+,1-2_dep,51-70,N,presencial_cfp,AB,1252,678,54.2
12,1o,3+_dep,51-70,N,presencial_cfp,CDE,2493,1349,54.1
12,2o+,1-2_dep,71+,N,presencial_cfp,CDE,433,234,54.0
6,2o+,sem_dep,31-50,N,digital,CDE,687,371,54.0
6,1o,sem_dep,71+,N,presencial_cfp,CDE,400,216,54.0
12,2o+,sem_dep,00-30,N,presencial_cfp,CDE,225,121,53.8
6,1o,3+_dep,71+,N,presencial_cfp,CDE,234,126,53.8
6,1o,3+_dep,00-30,N,presencial_cfp,AB,257,138,53.7
6,1o,1-2_dep,51-70,S,digital,AB,335,180,53.7
6,2o+,sem_dep,51-70,S,digital,CDE,84,45,53.6
12,1o,1-2_dep,31-50,S,presencial_cfp,CDE,286,153,53.5
12,2o+,sem_dep,71+,S,presencial_cfp,AB,215,115,53.5
12,1o,3+_dep,71+,N,digital,AB,146,78,53.4
6,1o,1-2_dep,51-70,N,presencial_cfp,CDE,2754,1472,53.4
6,2o+,sem_dep,00-30,N,presencial_cfp,CDE,390,208,53.3
6,1o,3+_dep,31-50,N,digital,AB,1196,638,53.3
6,1o,3+_dep,31-50,S,digital,AB,139,74,53.2
6,2o+,1-2_dep,00-30,N,presencial_cfp,CDE,570,303,53.2
12,1o,1-2_dep,51-70,S,digital,AB,427,227,53.2
6,1o,1-2_dep,31-50,S,presencial_cfp,AB,299,159,53.2
12,2o+,1-2_dep,51-70,S,presencial_cfp,CDE,760,404,53.2
6,1o,sem_dep,31-50,S,digital,AB,241,128,53.1
6,1o,sem_dep,71+,S,presencial_cfp,CDE,194,103,53.1
12,2o+,3+_dep,71+,N,presencial_cfp,CDE,396,210,53.0
6,1o,3+_dep,31-50,N,presencial_cfp,CDE,2611,1385,53.0
6,2o+,sem_dep,31-50,N,digital,AB,853,451,52.9
6,1o,1-2_dep,51-70,N,presencial_cfp,AB,2058,1088,52.9
6,1o,3+_dep,31-50,N,presencial_cfp,AB,1420,751,52.9
6,2o+,1-2_dep,00-30,N,digital,CDE,564,297,52.7
6,2o+,sem_dep,51-70,N,digital,CDE,347,183,52.7
12,2o+,3+_dep,31-50,N,presencial_cfp,AB,1668,877,52.6
12,1o,3+_dep,51-70,N,digital,AB,969,510,52.6
6,1o,1-2_dep,31-50,S,digital,CDE,265,139,52.5
6,1o,sem_dep,71+,S,digital,AB,59,31,52.5
6,1o,sem_dep,71+,N,digital,AB,162,85,52.5
6,2o+,sem_dep,31-50,S,digital,CDE,80,42,52.5
12,1o,1-2_dep,51-70,S,presencial_cfp,CDE,892,467,52.4
6,2o+,sem_dep,31-50,N,presencial_cfp,CDE,1167,609,52.2
12,1o,3+_dep,51-70,S,presencial_cfp,CDE,899,468,52.1
6,1o,sem_dep,51-70,S,presencial_cfp,CDE,589,307,52.1
6,1o,1-2_dep,51-70,N,digital,CDE,850,442,52.0
6,1o,1-2_dep,71+,N,digital,AB,123,64,52.0
6,1o,1-2_dep,51-70,S,digital,CDE,247,128,51.8
12,1o,3+_dep,71+,S,presencial_cfp,AB,311,161,51.8
12,1o,3+_dep,51-70,S,presencial_cfp,AB,932,483,51.8
12,1o,3+_dep,51-70,N,presencial_cfp,AB,1954,1011,51.7
12,1o,3+_dep,51-70,N,digital,CDE,974,503,51.6
12,2o+,3+_dep,00-30,N,digital,AB,93,48,51.6
6,1o,3+_dep,31-50,N,digital,CDE,1593,821,51.5
6,1o,sem_dep,71+,S,digital,CDE,66,34,51.5
12,1o,3+_dep,71+,S,digital,CDE,70,36,51.4
6,2o+,1-2_dep,00-30,N,presencial_cfp,AB,368,189,51.4
6,1o,1-2_dep,71+,S,digital,AB,72,37,51.4
6,2o+,sem_dep,51-70,S,digital,AB,158,81,51.3
6,2o+,sem_dep,31-50,N,presencial_cfp,AB,1141,584,51.2
12,2o+,sem_dep,51-70,S,presencial_cfp,AB,452,231,51.1
12,1o,3+_dep,51-70,S,digital,AB,362,185,51.1
12,1o,3+_dep,51-70,S,digital,CDE,334,170,50.9
12,2o+,1-2_dep,31-50,S,digital,CDE,57,29,50.9
6,2o+,1-2_dep,31-50,N,presencial_cfp,CDE,2459,1247,50.7
12,2o+,3+_dep,51-70,N,presencial_cfp,CDE,2183,1106,50.7
6,2o+,sem_dep,00-30,N,presencial_cfp,AB,298,151,50.7
6,1o,1-2_dep,71+,S,presencial_cfp,AB,219,111,50.7
12,2o+,3+_dep,51-70,S,digital,AB,182,92,50.5
6,1o,1-2_dep,71+,N,presencial_cfp,CDE,452,228,50.4
6,2o+,1-2_dep,31-50,S,digital,CDE,167,84,50.3
12,2o+,3+_dep,71+,S,presencial_cfp,CDE,335,167,49.9
6,1o,1-2_dep,51-70,N,digital,AB,829,413,49.8
12,2o+,1-2_dep,71+,S,presencial_cfp,AB,302,150,49.7
6,1o,sem_dep,71+,N,digital,CDE,149,74,49.7
12,2o+,3+_dep,51-70,N,presencial_cfp,AB,1934,957,49.5
6,2o+,sem_dep,51-70,N,digital,AB,410,203,49.5
6,2o+,1-2_dep,31-50,S,presencial_cfp,AB,287,142,49.5
6,2o+,1-2_dep,71+,N,digital,AB,89,44,49.4
12,2o+,3+_dep,71+,N,presencial_cfp,AB,429,212,49.4
6,1o,1-2_dep,71+,S,presencial_cfp,CDE,213,105,49.3
6,1o,3+_dep,51-70,N,digital,CDE,495,244,49.3
12,1o,3+_dep,71+,N,digital,CDE,130,64,49.2
6,2o+,1-2_dep,31-50,N,digital,CDE,1252,612,48.9
12,2o+,3+_dep,51-70,N,digital,AB,272,133,48.9
12,2o+,1-2_dep,51-70,S,presencial_cfp,AB,809,395,48.8
12,2o+,1-2_dep,31-50,S,presencial_cfp,AB,154,75,48.7
12,2o+,3+_dep,31-50,S,digital,AB,72,35,48.6
12,2o+,3+_dep,31-50,S,presencial_cfp,AB,352,171,48.6
12,2o+,3+_dep,31-50,S,presencial_cfp,CDE,470,228,48.5
6,2o+,sem_dep,51-70,N,presencial_cfp,CDE,1250,605,48.4
6,1o,1-2_dep,51-70,S,presencial_cfp,AB,733,354,48.3
6,1o,3+_dep,51-70,N,presencial_cfp,CDE,1580,763,48.3
12,2o+,1-2_dep,51-70,S,digital,AB,118,57,48.3
6,1o,sem_dep,71+,S,presencial_cfp,AB,276,133,48.2
12,1o,1-2_dep,71+,S,digital,CDE,83,40,48.2
12,1o,3+_dep,71+,S,presencial_cfp,CDE,245,118,48.2
6,2o+,sem_dep,71+,N,digital,CDE,77,37,48.1
6,1o,1-2_dep,51-70,S,presencial_cfp,CDE,790,380,48.1
6,2o+,sem_dep,71+,N,presencial_cfp,CDE,300,144,48.0
6,1o,1-2_dep,71+,N,presencial_cfp,AB,443,212,47.9
