contract_id,desfecho,dias_ate_proximo,next_is_gratis
c34db5e0-c674-11ee-9039-217e1ec6ff2d-1,voltou_pago,267,false
c34dd640-0ef5-11f0-8d4e-0d668bbf8429-2,saiu_de_vez,,
c34e4c70-a7ae-11ed-9e2e-bd7fd3d65cfd-1,saiu_de_vez,,
c34f1bc0-a99b-11ed-8248-15032677ada6-1,saiu_de_vez,,
c34f74b0-3dea-11ee-afce-d7896ce518b1-1,migrou_gratis,17,true
c34fbb60-80f5-11ef-b8f5-87635b5d4056-2,voltou_pago,11,false
c3505430-8f84-11ed-9876-fdf120b50f64-3,migrou_gratis,17,true
c3505ca0-96b7-11ef-a7dd-73458d68a61f-1,voltou_pago,98,false
c350db20-3e73-11ec-b1cf-7b40a9962f4b-3,migrou_gratis,17,true
c350fca0-023d-11ef-bdb0-5d47d6d13ae7-2,voltou_pago,1,false
c3518f00-123a-11ef-ab4c-679bdceecdb6-1,saiu_de_vez,,
c351b0c0-6bb8-11ef-a078-d97c880defd2-1,migrou_gratis,17,true
c351d370-b749-11ef-baa8-497eadcae9b0-1,voltou_pago,60,false
c351e740-fcbc-11ee-b192-456f9493d3da-2,saiu_de_vez,,
c351f800-6542-11ee-8b3b-8de852846c3a-1,migrou_gratis,17,true
c3523b40-fe5b-11ef-8cdf-633e5518259e-1,saiu_de_vez,,
c35266f0-fd81-11ee-8e15-c32d3977ab83-2,saiu_de_vez,,
c3527240-2cd2-11f0-968d-89f18a7b1f91-1,migrou_gratis,17,true
c35305c0-85e0-11ed-abcc-ebcee6d840ba-2,saiu_de_vez,,
c353d0b0-2660-11ee-8527-1d9da063ea05-1,saiu_de_vez,,
c354a160-fa82-11ee-a2bc-f9915668bda4-4,saiu_de_vez,,
c354afa0-bcf2-11f0-a828-99baa0421227-1,saiu_de_vez,,
c35574c0-6209-11ef-a912-71d005525219-1,voltou_pago,16,false
c355a450-4275-11ed-b8eb-5f07de738943-2,saiu_de_vez,,
c355c000-742a-11ef-a6d6-439a63439ffc-1,voltou_pago,16,false
c35693d0-3ef7-11ef-8874-a5993dd25155-1,voltou_pago,1,false
c3571bb0-7df8-11ec-b8c4-db01cc7492da-3,saiu_de_vez,,
c3579450-1032-11ee-a2d0-314759fec29d-1,saiu_de_vez,,
c357bcd0-b3f2-11f0-84c3-d13cb6f03811-1,voltou_pago,33,false
c3585ca0-4822-11ee-a87f-b7b7d0d9b566-1,migrou_gratis,16,true
c3587f80-34fa-11ef-a4a4-85e29f64b420-1,voltou_pago,104,false
c358b6c0-2140-11f0-b8dc-b1b214d1ffab-1,saiu_de_vez,,
c358bdb0-3eaa-11ef-82a8-15bcb5b80531-1,voltou_pago,16,false
c3598420-948c-11ee-994b-49e0e27140e6-2,saiu_de_vez,,
c3599510-b934-11ee-96bd-b75984780cdb-1,voltou_pago,64,false
c35a0380-dd81-11ee-9b6c-6dd3ee6918dd-2,saiu_de_vez,,
c35a0e50-ae27-11ed-954b-05423d48ccb0-1,migrou_gratis,16,true
c35a1970-dfc4-11ee-9deb-d96640f86aa3-1,voltou_pago,16,false
c35a2850-0a28-11ef-b39d-53a4a7362276-1,migrou_gratis,17,true
c35a96a0-ae98-11ee-8bb2-b1ce5ee3ea39-1,voltou_pago,54,false
c35ac1b0-859d-11f0-bb77-6d475210d57d-1,saiu_de_vez,,
c35b2a20-f311-11ef-a5c8-6dd64dfca32e-2,saiu_de_vez,,
c35bd410-8fc1-11ef-894e-15984fc62b8f-1,migrou_gratis,17,true
c35cdeb0-1fe5-11ef-9f34-ed22e013b740-1,saiu_de_vez,,
c35ceb70-6ba4-11ef-ad60-b97dee1bb3dc-1,migrou_gratis,17,true
c35d0820-9c9c-11ef-b01e-233563d2c5f5-1,voltou_pago,27,false
c35d3270-412e-11ee-9b0e-1f15613b383a-1,migrou_gratis,16,true
c35dca80-dfe6-11ee-a9cb-1b1921fc28db-1,saiu_de_vez,,
c35eda30-78d3-11ee-9c42-97b4eb280a0e-2,saiu_de_vez,,
c35f0ce0-b0de-11f0-b0f7-5b7542013a66-1,saiu_de_vez,,
c35f28d0-d725-11ef-8118-07d2a83abd88-1,migrou_gratis,17,true
c35fc2b0-de44-11ef-919d-476878d18e36-1,migrou_gratis,17,true
c36029d0-3bb6-11ee-b30a-319e0c0a0970-1,migrou_gratis,16,true
c3607920-5dfe-11ee-9a19-0567831872f0-1,migrou_gratis,16,true
c3609790-7715-11ee-9794-9b53f68139ce-1,migrou_gratis,17,true
c360bea0-d8bd-11ee-993d-859ccbab2235-1,voltou_pago,16,false
c360f0e0-9c12-11f0-8b29-ffbf31c7e2d9-1,migrou_gratis,17,true
c3611770-1921-11ef-a729-dd5abeb213da-1,saiu_de_vez,,
