contract_id,churn_original,churn_v4,churn_v5,churn_pm,desfecho_final,score_v4,score_v5,score_pm,faixa_5_v4,faixa_5_v5,faixa_5_pm,faixa_7_v4,faixa_7_v5,faixa_7_pm
11ca72b0-78ec-11ef-b9d2-75fea776fc1b-2,1,0,1,1,gratis_saiu,889,731,809,SEGURO,BAIXO,SEGURO,SEGURO,MUITO BAIXO,MUITO BAIXO
12507230-5f92-11ee-a9cb-4b07ff18bc46-2,1,0,1,1,gratis_saiu,900,666,807,SEGURO,BAIXO,SEGURO,SEGURO,BAIXO,MUITO BAIXO
12907390-0f12-11f0-9306-3d2037d04fcf-1,0,0,0,0,,763,485,486,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
12dbef40-802a-11ef-bb61-65338e597fc3-2,0,0,0,0,,883,788,855,SEGURO,BAIXO,SEGURO,SEGURO,MUITO BAIXO,MUITO BAIXO
13a69450-7f50-11ef-b51b-d7fc8a20a931-1,1,0,1,1,gratis_saiu,718,408,447,BAIXO,MEDIO,MEDIO,MUITO BAIXO,ALTO,MEDIO
14304340-7f3b-11ef-8cb3-3b490cfef71b-1,1,0,0,0,voltou_pago,884,573,744,SEGURO,MEDIO,BAIXO,SEGURO,BAIXO,MUITO BAIXO
144d2380-0987-11f0-893d-190c4ef4948a-1,1,1,1,1,saiu_de_vez,780,396,428,BAIXO,ALTO,MEDIO,MUITO BAIXO,ALTO,ALTO
14953350-0f09-11f0-a49d-fba8cab1a094-1,0,0,0,0,,743,433,493,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
149b7b60-7fef-11ef-84ec-7733e9c46dd0-2,0,0,0,0,,745,552,566,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
14bd13b0-801c-11ef-b8df-2da64124add0-1,0,0,0,0,,795,409,532,BAIXO,MEDIO,MEDIO,MUITO BAIXO,ALTO,MEDIO
14c79d00-8006-11ef-8e90-71e0b3d7721d-1,0,0,0,0,,832,603,679,SEGURO,BAIXO,BAIXO,MUITO BAIXO,BAIXO,BAIXO
14ddaa20-5ffd-11ee-b129-6709cdde7bc0-2,0,0,0,0,,904,712,872,SEGURO,BAIXO,SEGURO,SEGURO,BAIXO,SEGURO
15780250-0f42-11f0-971f-17f2ad00b118-1,0,0,0,0,,777,550,600,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,BAIXO
15c635c0-f052-11ee-8717-9d2d0983e15f-3,0,0,0,0,,727,545,542,BAIXO,MEDIO,MEDIO,MUITO BAIXO,MEDIO,MEDIO
